id,name,,parent_id,icon,created_at,updated_at
162,Teamwork,teamwork,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
163,Thinking,thinking,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
164,Venture Capital,venture-capital,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
165,Zapier,zapier,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
166,Business Communications,business-communications,,,2026-05-15 08:15:35,2026-05-15 08:15:35
167,Accounting,accounting,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
168,Actuarial Science,actuarial-science,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
169,Agile,agile,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
170,Basecamp,basecamp,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
171,Bookkeeping,bookkeeping,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
172,Brand Engagement,brand-engagement,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
173,Branding,branding,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
174,Business Analysis,business-analysis,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
175,Business Analytics,business-analytics,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
176,Business Development,business-development,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
177,Business Law,business-law,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
178,Business Management,business-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
179,Business Model,business-model,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
180,Business Plan,business-plan,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
181,Business Skills,business-skills,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
182,Business Strategy,business-strategy,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
183,Career Development,career-development,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
184,Change Management,change-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
185,Communications,communications,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
186,Competitive Strategy,competitive-strategy,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
187,Content Marketing,content-marketing,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
188,Copywriting,copywriting,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
189,Corporate Culture,corporate-culture,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
190,Critical Thinking Skills,critical-thinking-skills,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
191,Customer Insights,customer-insights,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
192,Decision Making,decision-making,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
193,Digital Leadership,digital-leadership,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
194,Digital Marketing,digital-marketing,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
195,Ecommerce,ecommerce,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
196,Enterprise Sales,enterprise-sales,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
197,Finance,finance,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
198,Financial Accounting,financial-accounting,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
199,Financial Management,financial-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
200,Gender Equity,gender-equity,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
201,Genesys,genesys,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
202,Growth Marketing,growth-marketing,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
203,Hospitality,hospitality,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
204,Hospitality Management,hospitality-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
205,Human Resources,human-resources,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
206,Innovation,innovation,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
207,International Business,international-business,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
208,International Project Management,international-project-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
209,Internet Marketing,internet-marketing,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
210,Interview,interview,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
211,Jira,jira,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
212,Journalism,journalism,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
213,Knowledge Management,knowledge-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
214,Landscape Finance,landscape-finance,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
215,Leadership,leadership,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
216,Lean Product Management,lean-product-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
217,Luxury Management,luxury-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
218,Management,management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
219,Management Accounting,management-accounting,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
220,Marketing,marketing,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
221,Marketing Management,marketing-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
222,Marketing Strategy,marketing-strategy,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
